t,A,B,C,D,E
1.0,0.7800665778412417,-1.1395431146442365,0.2981524724975481,0.41286746010048125,3
2.0,0.5210609940028851,-0.6800013333066669,0.148710143975583,0.4610351605373052,3
3.0,0.4253356149096782,-0.6209704265741759,0.09916794527147602,0.40914475794226945,3
4.0,0.6967067093471655,-0.6665129078591856,0.09952583060547907,0.4771954413623921,3
5.0,-0.05969769413186021,-0.22057446139579695,0.249783764189357,0.46518640573603964,3
6.0,0.3623577544766734,0.013116851973433707,0.1999417202299663,0.43311685197343375,3
7.0,0.5699671429002409,0.031145829726895946,0.2499996829318346,0.3809859870365597,3
8.0,-0.22919952230128882,0.030497370491970432,0.1999576464987401,0.34879302401846846,3
9.0,-0.4272020946930871,0.20863349611588322,0.24981561513429085,0.2765371822219679,3
10.0,-0.6161468365471424,0.5635581854171929,0.4495736030415051,0.28421768723769103,3
11.0,-1.3885011172553459,0.6938683634116449,0.2992316344213905,0.2718337710215367,3
12.0,-1.9373937155412457,0.598789743470524,0.19878974347052397,0.2793846719714731,3
13.0,-1.6568887533689474,0.5781966068080446,0.048247974377632466,0.36686963500369774,3
14.0,-1.9422223406686583,0.8326150140222005,-0.05239361868082633,0.31428791162814507,3
15.0,-1.9899924966004454,0.7632093666488738,-0.1531349715460811,0.2816387600233342,3
16.0,-1.598294775794753,0.6717526620201257,-0.20397601008346328,0.22892144511055124,3
17.0,-1.366798192579461,0.5605812012792004,-0.2049166501898198,0.2961352386273567,3
18.0,-1.296758416334147,0.7325349075556211,-0.45595679780192405,0.2832794192004101,3
19.0,-1.5909677119144165,0.49088477889845217,-0.6070963489058815,0.25035327241760785,2
20.0,-1.253643620863612,0.13924932921398198,-0.6083351895475314,0.2573560908995227,2
21.0,-1.4902608213406996,-0.21849784823973084,-0.759673195843842,0.2642871743701425,2
22.0,-1.5073328699784194,-0.4783270334708653,-0.6611102339952986,0.33114582972689577,2
23.0,-1.512152526935054,-0.5361553206968974,-0.7126461602992835,0.37793137110996267,1
24.0,-0.7125010165605528,-0.8879509179417303,-0.8642808211644465,0.3646431199708594,2
25.0,-0.5163378145367737,-1.1298361409084934,-0.966014053126063,0.3712804051402926,2
26.0,0.06851667130037709,-1.1581864701049054,-1.1178456828623817,0.37784256289527696,2
27.0,0.6346928759426346,-1.1697231407640243,-1.0197755272119546,0.3043289370255051,2
28.0,0.5755658785102502,-1.261596900310741,-1.0218033931919552,0.3707388788989693,2
29.0,0.6855195169413193,-1.3314607937532426,-1.0739290780174757,0.4370717475268239,2
30.0,0.5601702866503661,-1.477530117665097,-1.2761523691218049,0.46332690962748335,2
31.0,0.7965420970232175,-1.498628011207499,-1.2784730441776846,0.40950373968995046,2
32.0,0.7931849187581925,-1.4942155195492712,-1.3808908711195438,0.4756016200363661,2
33.0,0.9502325919585293,-1.2644053617015305,-1.2334056081667024,0.48161994088377724,3
34.0,0.6693974903498248,-1.3099590510617103,-1.1360170038475519,0.5875581004051142,2
35.0,0.9539022543433047,-1.1322674422239007,-0.8887247970247001,0.4934155047893739,3
36.0,0.8083513145322545,-1.0333152009956565,-0.8415287169210859,0.43919156830099826,3
37.0,0.6385473275743904,-0.9156301052500864,-0.994428483147056,0.4048857133384499,3
38.0,0.8512598425822548,-0.8822184717449315,-0.7474238057284046,0.43049737049197045,3
39.0,0.853955420562649,-0.8364883584585042,-0.5505143851353695,0.49602597860052045,3
40.0,0.2544999661913865,-0.582162504272095,-0.6536999123125855,0.5614709848078965,3
41.0,0.06084513901616384,-0.12318322999237857,-0.7069800687099895,0.5668318446180152,3
42.0,-0.31928865411668556,-0.06361173005840237,-0.6603545263146751,0.6121080219493629,3
43.0,-0.8787200473200125,-0.20752432757013028,-0.6638229476836939,0.5172989891886034,2
44.0,-1.411093014061656,-0.058908342848797646,-0.7673849859777995,0.5624042272433385,2
45.0,-1.111130261884677,-0.02156023561179976,-0.7210402849961307,0.5274232255940169,2
46.0,-1.174843621404164,0.10101137723559883,-0.5747884792118317,0.5323554823449864,3
47.0,-0.9996930420352065,0.10567535073921375,-0.5286291938086045,0.5772005042746817,3
48.0,-1.1846878557941267,0.18975799835035967,-0.5325620447181902,0.6619578068849477,3
49.0,-0.7304262721047532,0.45111139240710885,-0.3865866386587748,0.6466269144494872,3
50.0,-0.8390715290764524,0.6881682338770003,-0.2907025731743183,0.5712073600614355,3
51.0,-0.714265652027199,0.3999818896898556,-0.144909436674799,0.6156986856800477,3
52.0,-0.7609842574272287,0.38625057488968373,0.10079319152262728,0.5401004421765051,3
53.0,-0.585338190771828,0.64732506186213,-0.0535942588484402,0.5644121893788258,3
54.0,-0.5943299064553348,0.8841997197019127,-0.10807134904662041,0.6086334961158832,3
55.0,0.004425697988050786,0.5984871126234903,-0.3626376313666245,0.552763940260521,3
56.0,-0.3969951361812478,0.49237680630956043,-0.517292649184026,0.576803108771767,3
57.0,-0.40650913365210917,0.16857943450706958,-0.6220359370009221,0.5807505977361357,3
58.0,0.168289629767975,0.13025745471377032,-0.8768670204924836,0.6046060124080203,3
59.0,0.5204324789908388,-0.019055638168696487,-1.0817854165543874,0.5883689672491667,3
60.0,0.4438539587324921,-0.3755455764929365,-1.1867906333511262,0.5320390859672263,3
61.0,0.5336336440746379,-0.3352147569853874,-1.2418821703651912,0.5956160015533859,3
62.0,0.7861923022788637,-0.4939843612538972,-1.2470595184471238,0.6990993563190677,3
63.0,0.7994345855010048,-0.6477985509706949,-1.2023221598664302,0.7024888019316975,3
64.0,0.5728325656974353,-1.0927280760196603,-1.0576695683633544,0.6657839994495389,3
65.0,0.3074467814501962,-1.025070648892882,-1.0631012092015022,0.6489846193555862,3
66.0,0.4058839576404496,-1.0414455212290603,-1.1186165392213168,0.7120903415905158,3
67.0,0.27219308355346805,-1.1388798464951,-1.3742150068943917,0.6351008555846923,2
68.0,0.31170399245314745,-1.4148846226387806,-1.129896052378626,0.6780158602892248,2
69.0,0.13081487794904695,-1.4675182747245379,-1.085659107574204,0.6208350642060728,2
70.0,-0.26326278179216644,-1.4954362533063774,-1.24150359618041,0.5835581854171931,1
71.0,-0.06279172292408353,-1.497925381525997,-1.2974289337532527,0.5661849516127341,2
72.0,-0.45981735621375586,-1.4749220735246151,-1.353434527763913,0.5087151001182653,1
73.0,-0.6464848914122672,-1.6270139587712806,-1.4595197776579951,0.4911483779210446,1
74.0,-0.8153524829547207,-1.2554248708134987,-1.3156840749155803,0.5334845416953193,1
75.0,-0.9596879128588212,-1.3619835839190333,-1.1219268031120788,0.555723357826659,1
76.0,-1.273736983011081,-1.2490770962449238,-1.078247337979874,0.5778646024353161,1
77.0,-1.1529529168871804,-0.8195896529353994,-0.9346450474707464,0.6799080613986141,2
78.0,-1.1941776251838154,-0.476829066830075,-0.691119291819078,0.6018535303723597,2
79.0,-1.3957676088732884,-0.3244422189518554,-0.5976694236058292,0.6037008148112765,2
80.0,-1.1576594803233846,-0.2663218973512007,-0.6542947878232798,0.6254497299884602,2
81.0,-0.8813724903622346,-0.2065073541488307,-0.6609947219405291,0.6871001010138504,3
82.0,-0.7699479605420695,0.05091887890969954,-0.5677685559697487,0.6686517628517198,3
83.0,-0.627828035246386,0.40193528049619187,-0.6246156125331804,0.7301045603371779,3
84.0,-0.060678587411362506,0.34268407120445116,-0.6315352069308737,0.6714583481916864,3
85.0,0.1248366619484031,0.469569762196601,-0.5885266472091557,0.6727129910375885,3
86.0,0.12132180526815986,0.37935100352317863,-0.5455892342298239,0.7138683634116447,3
87.0,-0.07905640007152236,0.26922338581191174,-0.4027222617400622,0.7349243497775808,3
88.0,0.11574375491924332,0.1368910801201374,-0.6099250164430636,0.7558808445376399,3
89.0,0.29795620278841545,-0.11937451412019151,-0.6671967780693603,0.7367377520431433,3
90.0,0.26031670824408015,-0.0006906112520823626,-0.674536819448849,0.7574949866040546,3
91.0,-0.003647529708076913,0.19246550033092158,-0.7319444065835091,0.8181524724975481,3
92.0,0.10064017238476997,0.16026865072353846,-0.6894187987207993,0.818710143975583,3
93.0,-0.030977807060950102,-0.0964586776017663,-0.5969592484277352,0.8991679452714761,3
94.0,-0.4012276434127897,-0.17626736046587888,-0.7545650016656293,0.859525830605479,3
95.0,-0.4112953818133307,0.02288134951197618,-0.8622352978654964,0.919783764189357,3
96.0,0.13922034669686956,0.1035637422291108,-0.8199693700041077,1.0199417202299663,3
97.0,0.2522923238654625,0.06882783765776695,-0.727766444680695,1.0799996829318346,3
98.0,0.13138609564549675,0.022115522854382785,-0.7856257421942883,1.0399576464987401,3
99.0,-0.2186781881855644,0.06717462746353695,-0.6435464766216853,1.099815615134291,3
100.0,0.20808206181339195,-0.19203681621406266,-0.6015278558960435,1.1395736030415051,3
101.0,-0.18142663221474084,-0.5514516828715135,-0.559569081886087,1.1192316344213906,3
102.0,-0.5796491566683205,-0.8069976506737597,-0.7676693504759181,1.1187897434705238,3
103.0,-0.7786830050247345,-1.0547012304831975,-0.7758278516454277,1.0782479743776325,2
104.0,-0.5705933258376414,-1.190789270361204,-0.7340437695512971,1.0376063813191738,2
105.0,-1.1477292602242684,-1.4117853423691231,-0.842316282608583,1.056865028453919,2
106.0,-1.3030289574653886,-1.5145985494261156,-0.9506445635728734,1.0360239899165369,1
107.0,-1.0303011087085272,-1.4966024836142182,-1.0590277796230119,1.0350833498101801,1
108.0,-1.3244717749141217,-1.5557023189064934,-1.0674650924443787,1.014043202198076,1
109.0,-1.5817866687932767,-1.690388324405471,-1.175955658312724,1.0129036510941185,1
110.0,-1.7999608263946372,-1.6997744310730112,-0.9344986281785359,1.0716648104524686,1
111.0,-1.9782697014065067,-1.4836208667477724,-0.9430931477519469,1.0103268041561582,1
112.0,-1.9175780505318598,-1.3423402812289549,-1.0517383575881616,0.9288897660047013,1
113.0,-2.020305458367489,-0.9769872049583981,-1.0604333931734005,0.8673538397007164,1
114.0,-2.0903298762015723,-0.9892311105835723,-0.9191773850113518,0.9057191788355535,1
115.0,-1.5328330203333975,-1.0813137655555,-0.7779694587101178,0.9439859468739369,1
116.0,-1.1540937933963558,-1.0559919652079808,-0.8368087350696549,0.9021543171376184,2
117.0,-0.7612379643241853,-1.1164671092263991,-0.8956943301696935,0.9002244727880454,2
118.0,-0.5619540864302295,-1.0663034205057764,-0.9046253554581284,0.9181966068080447,2
119.0,-0.16418697904947743,-0.9093368955327107,-1.1136009178398738,0.9560709219825241,2
120.0,0.024179007336996905,-0.7495773121931888,-1.17262011976617,0.9938476308781952,3
121.0,0.3956343152752115,-0.6911057982592582,-1.2316820593243412,1.0915269558223155,3
122.0,-0.056656437303824636,-0.5379705772119459,-1.0407858303279822,1.1491091288804565,3
123.0,0.26141804802870283,-0.39408355461854794,-0.9999305224075805,1.1465943918332975,3
124.0,0.7451505141481711,-0.26312038681008465,-1.1091152211015478,1.1839829961524482,3
125.0,0.9912028118634736,0.1515734153521483,-1.2183390079476681,1.1212752029752997,3
126.0,0.5977389813911301,0.24706794900097084,-1.2776009605749443,1.098471283078914,3
127.0,0.7644984462781486,0.3209237649014367,-1.2369001527958317,0.995571516852944,3
128.0,0.6928064017629096,0.5712541842384289,-1.0462356546988572,1.0325761942715954,3
