Date,Open,High,Low,Close,Volume,Adj Close
2016-08-19,218.309998,218.75,217.740005,218.539993,73419000,218.539993
2016-08-18,218.339996,218.899994,218.210007,218.860001,52989300,218.860001
2016-08-17,218.00,218.529999,217.020004,218.369995,75134300,218.369995
2016-08-16,218.600006,218.679993,217.960007,217.960007,53213600,217.960007
2016-08-15,218.889999,219.50,218.880005,219.089996,49813500,219.089996
2016-08-12,218.289993,218.710007,217.990005,218.460007,61313500,218.460007
2016-08-11,218.259995,218.940002,217.949997,218.649994,72504300,218.649994
2016-08-10,218.309998,218.399994,217.229996,217.639999,57941100,217.639999
2016-08-09,218.130005,218.759995,217.800003,218.179993,51251700,218.179993
2016-08-08,218.399994,218.520004,217.740005,218.050003,39906500,218.050003
2016-08-05,216.410004,218.229996,216.410004,218.179993,71892200,218.179993
2016-08-04,216.309998,216.779999,214.25,216.410004,46585500,216.410004
2016-08-03,215.479996,216.25,215.130005,216.179993,53993600,216.179993
2016-08-02,216.649994,216.830002,214.570007,215.550003,92295500,215.550003
2016-08-01,217.190002,217.649994,216.410004,216.940002,73311400,216.940002
2016-07-29,216.460007,217.539993,216.130005,217.119995,79519400,217.119995
2016-07-28,216.289993,217.110001,215.75,216.770004,65035700,216.770004
2016-07-27,217.190002,217.270004,215.619995,216.520004,84083900,216.520004
2016-07-26,216.529999,217.169998,215.759995,216.75,70080500,216.75
2016-07-25,217.00,217.059998,215.970001,216.649994,55873100,216.649994
2016-07-22,216.410004,217.300003,216.100006,217.240005,62787500,217.240005
2016-07-21,216.960007,217.220001,215.75,216.270004,67777300,216.270004
2016-07-20,216.190002,217.369995,216.190002,217.089996,58159500,217.089996
